File	Order	Title
jess401.pdf	1	Power-sharing
jess401.pdf	2	Belgium and Sri Lanka
jess401.pdf	3	Majoritarianism in Sri Lanka
jess401.pdf	4	Accommodation in Belgium
jess401.pdf	5	Why power sharing is desirable?
jess401.pdf	6	Khalil’s dilemma
jess401.pdf	7	Forms of power-sharing
jess402.pdf	8	Federalism
jess402.pdf	9	What is federalism?
jess402.pdf	10	What makes India a federal country?
jess402.pdf	11	Linguistic States
jess402.pdf	12	How is federalism practised?
jess402.pdf	13	Language policy
jess402.pdf	14	Centre-State relations
jess402.pdf	15	Linguistic diversity of India
jess402.pdf	16	Scheduled Languages of India
jess402.pdf	17	Decentralisation in India
jess403.pdf	18	Gender, Religion and Caste
jess403.pdf	19	Gender and politics
jess403.pdf	20	Public/private division
jess403.pdf	21	Women’s political representation
jess403.pdf	22	Religion, communalism and politics
jess403.pdf	23	Communalism
jess403.pdf	24	Secular state
jess403.pdf	25	Caste and politics
jess403.pdf	26	Caste inequalities
jess403.pdf	27	Social and Religious Diversity of India
jess403.pdf	28	Caste in politics
jess403.pdf	29	Caste inequality today
jess403.pdf	30	Politics in caste
jess404.pdf	31	Political Parties
jess404.pdf	32	Why do we need political parties?
jess404.pdf	33	Meaning
jess404.pdf	34	Functions
jess404.pdf	35	Necessity
jess404.pdf	36	How many parties should we have?
jess404.pdf	37	Popular participation in political parties
jess404.pdf	38	National parties
jess404.pdf	39	Aam Aadmi Party
jess404.pdf	40	Bahujan Samaj Party
jess404.pdf	41	Bharatiya Janata Party
jess404.pdf	42	Communist Party of India - Marxist
jess404.pdf	43	Indian National Congress
jess404.pdf	44	National People’s Party
jess404.pdf	45	State parties
jess404.pdf	46	Challenges to political parties
jess404.pdf	47	How can parties be reformed?
jess405.pdf	48	Outcomes of Democracy
jess405.pdf	49	How do we assess democracy’s outcomes?
jess405.pdf	50	Accountable, responsive and legitimate government
jess405.pdf	51	Economic growth and development
jess405.pdf	52	Reduction of inequality and poverty
jess405.pdf	53	Accommodation of social diversity
