File	Order	Title
jesc101.pdf	1	Chemical Reactions and Equations
jesc101.pdf	2	Chemical Equations
jesc101.pdf	3	Writing a Chemical Equation
jesc101.pdf	4	Balanced Chemical Equations
jesc101.pdf	5	Types of Chemical Reactions
jesc101.pdf	6	Combination Reaction
jesc101.pdf	7	Decomposition Reaction
jesc101.pdf	8	Displacement Reaction
jesc101.pdf	9	Double Displacement Reaction
jesc101.pdf	10	Oxidation and Reduction
jesc101.pdf	11	Have you observed the effects of oxidation reactions in everyday life?
jesc101.pdf	12	Corrosion
jesc101.pdf	13	Rancidity
jesc102.pdf	14	Acids, Bases and Salts
jesc102.pdf	15	Understanding the Chemical Properties of Acids and Bases
jesc102.pdf	16	Acids and Bases in the Laboratory
jesc102.pdf	17	How do Acids and Bases React with Metals?
jesc102.pdf	18	How do Metal Carbonates and Metal Hydrogencarbonates React with Acids?
jesc102.pdf	19	How do Acids and Bases React with each other?
jesc102.pdf	20	Reaction of Metallic Oxides with Acids
jesc102.pdf	21	Reaction of a Non-metallic Oxide with Base
jesc102.pdf	22	What do all Acids and all Bases have in Common?
jesc102.pdf	23	What Happens to an Acid or a Base in a Water Solution?
jesc102.pdf	24	How Strong are Acid or Base Solutions?
jesc102.pdf	25	Importance of pH in Everyday Life
jesc102.pdf	26	More about Salts
jesc102.pdf	27	Family of Salts
jesc102.pdf	28	pH of Salts
jesc102.pdf	29	Chemicals from Common Salt
jesc102.pdf	30	Are the Crystals of Salts really Dry?
jesc103.pdf	31	Metals and Non-metals
jesc103.pdf	32	Physical Properties
jesc103.pdf	33	Metals
jesc103.pdf	34	Non-metals
jesc103.pdf	35	Chemical Properties of Metals
jesc103.pdf	36	What happens when Metals are burnt in Air?
jesc103.pdf	37	What happens when Metals react with Water?
jesc103.pdf	38	What happens when Metals react with Acids?
jesc103.pdf	39	How do Metals react with Solutions of other Metal Salts?
jesc103.pdf	40	The Reactivity Series
jesc103.pdf	41	How do Metals and Non-metals React?
jesc103.pdf	42	Properties of Ionic Compounds
jesc103.pdf	43	Occurrence of Metals
jesc103.pdf	44	Extraction of Metals
jesc103.pdf	45	Enrichment of Ores
jesc103.pdf	46	Extracting Metals Low in the Activity Series
jesc103.pdf	47	Extracting Metals in the Middle of the Activity Series
jesc103.pdf	48	Extracting Metals towards the Top of the Activity Series
jesc103.pdf	49	Refining of Metals
jesc103.pdf	50	Corrosion
